hobby	100	n	activity
hobby	200	n	falcon
hock	100	n	joint
hock	200	v	deposit
hock	300	n	wine
hock	400	n	board
hold	100	v,n	carry
hold	200	n	compartment
hood	100	n,v	covering
hood	200	n	criminal
hood	300	n	neigborhood
hop	100	v,n	jump
hop	200	n,v	plant
hopper	100	n	container
hopper	200	n	farmer
host	100	n,v	person
host	200	n	army
host	300	n	bread
hoy	200	n	vessel
hoy	300	v	throw
hull	100	n,v	vessel body
hull	200	n,v	fruit covering
husky	100	a	hoarse
husky	200	n	dog
impost	100	n	payment
impost	200	n	support
impress	100	v,n	influence
impress	200	v	force
incense	100	n,v	substance
incense	200	v	inflame
inch	100	n,v	unit
inch	200	n	island
invalid	100	n,v	disabled
invalid	200	a	irrational
jack	100	n	device
jack	200	n	game
jack	300	v	rob
jack	400	a	bored
jade	100	n	stone
jade	200	n	woman
jag	100	n,v	stab
jag	200	n	overindulgence
jag	400	n	car
jam	100	v,n	pack
jam	200	n,v	substance
jar	100	n	cylinder
jar	200	v,n	shock
jar	300	n	open
jerk	100	n,v	spasm
jerk	200	v,n	flesh
jerry	100	n	pot
jerry	200	v,n	understand
jerry	400	n	classification
jet	100	n,v	stream
jet	200	n	mineral
jib	100	n	arm
jib	200	v	refusal
jigger	100	n,v	machine
jigger	200	n	flea
job	100	n,v	employment
job	200	v,n	stab
jumper	100	n	garment
jumper	200	n	one that jumps
junk	100	n,v	trash
junk	200	n	vessel
keel	100	n,v	ridge
keel	200	n	boat
keen	100	a	eager
keen	200	v,n	wail
kern	100	v,n	adjust
kern	200	n	peasant
key	100	n,a,v	implement
key	400	n	island
kid	100	n,v	child
kid	200	v	silly
kid	300	n	tub
kind	100	n	similar
kind	200	a	friendly
kit	100	n,v	provisions
kit	200	n	young
kit	300	n	violin
kit	400	n	flock
kitty	100	n	fund
kitty	200	n	kitten
knoll	100	n	hill
knoll	200	v,n	sound
knot	100	n,v	fastening
knot	200	n	sandpiper
lag	100	v,n	delay
lag	200	v	cover
lag	300	n,v	criminal
lake	100	n	pool
lake	200	n	pigment
lap	100	n	cloth
lap	200	n,v	fold
lap	300	v,n	waves
lark	100	n	bird
lark	200	n,v	activity
last	100	a,r,n	lowest
last	400	v	continue
last	500	n	shoemaking
launch	100	v,n	initiate
launch	200	n	motorboat
laver	100	n	seaweed
laver	200	n	container
lawn	100	n	garden
lawn	200	n	fabric
lax	100	a	relaxed
lax	200	n	sport
lay	100	v,n	position
lay	200	a	non-professional
lay	300	n	song
lay	400	v	dishonesty
lead	100	v,n	direct
lead	200	n	metal
leading	100	a,n	important
leading	200	n	blank space
league	100	n,v	collection
league	200	n	unit
lean	100	v,n	incline
lean	200	a,n	thin
leave	100	v,n	depart
leave	200	n	permission
leave	300	v	grow
leech	100	n,v	worm
leech	200	n	doctor
leech	300	n	edge
leet	100	n	court
leet	200	n,a	language
leet	300	n	list
let	100	v,n	allow
let	200	n,v	circumstance
lie	100	v,n	recline
lie	200	n,v	dishonesty
light	100	n,v,a	illumination
light	400	a	skinny
light	500	v	lessen
limb	100	n	arm
limb	200	n	border
limber	100	a,v	flexible
limber	200	n,v	gun
lime	100	n,v	substance
lime	200	n	citrus
lime	300	n	tree
lime	400	v,n	converse
limp	100	v,n	walk
limp	200	a	weak
line	100	n,v	row
line	200	v	cover
liner	100	n	ship
liner	200	n	inner coating
ling	100	n	fish
ling	200	n	bush
link	100	n,v	relationship
link	200	n	torch
list	100	n,v	record
list	200	v,n	incline
list	300	v,n	want
live	100	v	survive
live	200	a,r	performance
loaf	100	n	bread
loaf	200	v	laze
lock	100	n,v	fastener
lock	200	n	hair
log	100	n,v	tree
log	200	n	logarithm
long	100	a,n,r	distance
long	400	v	desire
loom	100	n	apparatus
loom	200	v,n	threaten
loon	100	n	fool
loon	200	n	bird
loon	300	v	dawdle
lop	100	v,n	remove
lop	200	v	hang
lore	100	n	tradition
lore	200	n	surface
low	100	a,n,r	inferior
low	200	v,n	deep
lower	100	r,a,r	nan
lower	300	v,n	scowl
lower	400	v	descend
lowering	100	n	descent
lowering	200	a	threatening
lug	100	v,n	carry
lug	200	n	ear
lug	300	n	worm
lumber	100	v	shuffle
lumber	200	n,v	timber
lumber	300	v,n	converse
lump	100	n,v	pile
lump	200	v	accept
lunge	100	n,v	thrust
lunge	200	n,v	rein
lunge	500	n	fish
lurch	100	v,n	jerk
lurch	200	n	abandon
lush	100	a	abundant
lush	200	n,v	alcoholic
lustre	100	n	sheen
lustre	200	n	time period
lute	100	n	instrument
lute	200	n,v	cement
lying	000	v	recline
lying	200	v,a	dishonesty
mace	000	n,v	chemical
mace	100	n	weapon
mace	200	n	covering
mail	100	n,v	items
mail	200	n,v	armor
main	100	a,n	central
main	200	n	number
mamma	100	n	mother
mamma	200	n	breast
mandarin	100	n	language
mandarin	200	n	citrus
mangle	100	v	destroy
mangle	200	n,v	machine
march	100	v,n	walk
march	200	n,v	land
march	500	n	month
mark	100	n,v	blemish
mark	200	n	currency
maroon	100	a,n	color
maroon	200	v	abandon
maroon	400	n	member
mast	100	n	post
mast	200	n	fruit
mast	300	v	brew
mat	100	n,v	material
mat	200	n	mould
mat	300	a	dull
match	100	n,v	companion
match	200	n	wick
mate	000	n	infusion
mate	100	n,v	partner
mate	200	n,v	checkmate
may	100	v	ask
may	200	n	plant
may	300	n	month
mead	100	n	alcohol
mead	200	n	meadow
meal	100	n	occasion
meal	200	n	powder
mean	100	v	signify
mean	200	a	unkind
mean	300	n,a	average
meet	100	v,n	convene
meet	200	a	proper
mere	100	a	pure
mere	200	n	lake
mere	300	n	club
meter	100	n	unit
meter	200	n,v	device
meter	300	n	unit
metre	100	n	unit
metre	200	n	rhythm
mew	100	v,n	cry
mew	200	n,v	cage
might	100	v	ask
might	200	n	power
mint	100	n	flavor
mint	200	n,a,v	money
minute	100	n	time
minute	200	a	small
minute	300	n,v	memorandum
misprision	100	n	concealment
misprision	200	n	failure
miss	100	v,n	fail
miss	200	n	title
miss	300	n	miscarriage
mister	100	n	title
mister	200	n	mist-sprayer
mite	100	n	arachnid
mite	200	n,r	amount
mizzle	100	n,v	rain
mizzle	200	v	depart
mole	100	n	mammal
mole	200	n	blemish
mole	300	n	structure
mole	400	n	unit
mole	500	n	tissure
mole	600	n	sauce
mood	100	n	atmosphere
mood	200	n	category
moor	100	n	upland
moor	200	v	anchor
moor	300	n	UNSPECIFIED
mop	100	n,v	implement
mop	200	n	gathering
mortar	100	n,v	gun
mortar	200	n,v	mixture
mould	100	n,v	container
mould	200	n	fungi
mould	300	n	soil
mound	100	n,v	hill
mound	200	n	regalia
mount	100	v,n	climb
mount	200	n	mountain
mow	100	v	cut
mow	200	n	stack
muff	100	n	fur
muff	200	v,n	bumble
mug	100	n,v	cup
mug	200	v	learn
mull	100	v	contemplate
mull	200	v	flavor
mull	300	n	humus
mull	400	n	promontory
mull	500	n	cloth
mum	100	n	mother
mum	200	a	silent
mum	300	n	chrysanthemum
mum	400	v	perform
mummy	100	n	body
mummy	200	n	mother
muse	100	n	inspiration
muse	200	v,n	meditate
must	100	v,n	should
must	200	n	juice
must	300	n	dampness
must	400	n,a	aggression
mystery	100	n	secret
mystery	200	n	skill
nag	100	v,n	harass
nag	200	n	horse
nap	100	v,n	sleep
nap	200	n	fibres
nap	300	n,v	game
nap	600	v	refuse
nave	100	n	church
nave	200	n	hub
neat	100	a	tidy
neat	200	n	cattle
net	100	n,v	material
net	200	a,v	remaining
nip	100	v,n	bite
nip	200	n,v	amount
nip	500	n	slur
nob	100	n	aristocrat
nob	200	n	head
noodle	100	n	pasta
noodle	200	n	fool
noodle	300	v	improvise
noodle	400	v	search
oblate	100	a	flattened
oblate	200	n	person
ooze	100	v,n	trickle
ooze	200	n	slime
oratory	100	n	chapel
oratory	200	n	practice
ought	100	v	must
ought	200	n	zero
ounce	100	n	unit
